Name,Address,RATING,CURRENT,RISK
Subway,3001 S 144th ST,EXCELLENT,1/24/2018,MEDIUM
Subway,7444 Pacific,EXCELLENT,12/28/2018,MEDIUM
Subway,5018 Ames AVE,STANDARD,1/24/2018,MEDIUM
Subway,210 S 16th St Ste 105F,EXCELLENT,2/7/2018,MEDIUM
Subway,14235 Q St,EXCELLENT,3/1/2018,MEDIUM
Subway,5005 Center,EXCELLENT,3/12/2018,MEDIUM
Subway,2717 N 90th ST,EXCELLENT,3/13/2018,MEDIUM
Subway,10000 California St FC-11,EXCELLENT,3/14/2018,MEDIUM
Subway,10730 Pacific St Ste 106,EXCELLENT,3/27/2018,MEDIUM
Subway,15805 W Maple RD,EXCELLENT,4/9/2018,MEDIUM
Subway,7309 Jones ST,EXCELLENT,4/11/2018,MEDIUM
Subway,1212 Howard ST,EXCELLENT,4/16/2018,MEDIUM
Subway,7254 N 30th ST,STANDARD,4/17/2018,MEDIUM
Subway,4350 Dewey Ave,EXCELLENT,4/20/2018,MEDIUM
Subway,13828 Manderson Cir,EXCELLENT,5/8/2018,MEDIUM
Subway,6304 N 99th ST,EXCELLENT,5/29/2018,MEDIUM
Subway,206 S 19th ST,EXCELLENT,6/12/2018,MEDIUM
Subway,3114 S 24th ST,EXCELLENT,7/31/2018,MEDIUM
Subway,4020 Dodge ST,EXCELLENT,8/17/2018,MEDIUM
Subway,1606 S 72nd ST,STANDARD,8/22/2018,MEDIUM
Subway,9539 'Q' ST,STANDARD,9/12/2018,MEDIUM
Subway,10814 Cottonwood LN,EXCELLENT,9/17/2018,MEDIUM
Subway,2579 S 177th Plz,EXCELLENT,9/24/2018,MEDIUM
Subway,5048 L St,EXCELLENT,10/2/2018,MEDIUM
Subway,15825 CW Hadon DR,EXCELLENT,10/17/2018,MEDIUM
Subway,18201 Wright St,EXCELLENT,10/29/2018,MEDIUM
Subway,3021 S 84th ST,EXCELLENT,11/2/2018,MEDIUM
Subway,4455 N 72nd St,EXCELLENT,11/8/2018,MEDIUM
Subway,5170 S 72nd St Ste 101 - Ralston,EXCELLENT,11/19/2018,MEDIUM
Subway #59036,6901 N 72nd St,EXCELLENT,8/6/2018,MEDIUM
Subway 27148 Metro,2909 Edward Babe Gomez Ave,EXCELLENT,10/24/2018,MEDIUM
Subway Subs & Salads,2509 Abbott Plaza,EXCELLENT,9/25/2018,MEDIUM
Subway Subs and Salads,16960 W Maple RD,EXCELLENT,7/19/2018,MEDIUM
Subway Subs and Salads,901 N 24th ST,STANDARD,8/2/2018,MEDIUM
Subway Subs and Salads #32831, 302 N 168th Cr  Ste 200 ,STANDARD,,MEDIUM
Subway Subs & Salads Shop #54902,693 N 132nd St,STANDARD,,MEDIUM
Subway Subs and Salads #13671, 1119 N 204th Ave  Ste 101 ,STANDARD,,MEDIUM
Subway Subs/Goodrich,7500 Mercy RD,EXCELLENT,4/25/2018,MEDIUM
Subway/Goodrich Ice Cream,2302 L ST,EXCELLENT,3/1/2018,MEDIUM
SUBZI MUNDI,2320 N 72 ST,EXCELLENT,10/17/2018,HIGH
SUDANESE AFRICAN FOOD,628 N SADDLE CREEK,STANDARD,7/23/2018,MEDIUM
Sugar Coma Custom Treats,14236 U St,STANDARD,,MEDIUM
SUGAR HILL PKG LIQUOR #2,5627 AMES AVE,EXCELLENT,4/18/2018,LOW
SULLIVANS BAR,3929 FARNAM ST,EXCELLENT,3/12/2018,LOW
SULLIVAN'S STEAKHOUSE,222 S 15 ST,EXCELLENT,8/27/2018,HIGH
SUMMER KITCHEN BAKERY (THE),9015 F ST,EXCELLENT,8/24/2018,MEDIUM
SUMMER KITCHEN CAFÉ / SCOOTERS,1130 STERLING RIDGE DR,EXCELLENT,11/2/2018,HIGH
SUMMIT (THE),1601 DODGE ST STE 100,EXCELLENT,2/1/2018,MEDIUM
Sunny Slope Elementary,10829 Old Maple,SUPERIOR,9/20/2018,HIGH
Sunridge Village LLC,13410 Blondo,EXCELLENT,8/29/2018,HIGH
SUNRIZE DONUTS,17676 WELCH PLZ STE 7,EXCELLENT,5/31/2018,MEDIUM
Sunset Hills Elementary,9503 WALNUT ST,SUPERIOR,9/5/2018,HIGH
SUPER 8,7111 SPRING ST,STANDARD,4/24/2018,MEDIUM
SUPER CARNICERIA EL PUEBUTO,5116 S 24 ST,FAIR,10/17/2018,HIGH
SUPER MERCADITO,1052 PARK AVE,STANDARD,10/29/2018,HIGH
SUPER SAVER #20,5710 S 144th ST,STANDARD,6/26/2018,HIGH
Super Target,17810 W Center RD,EXCELLENT,12/20/2018,HIGH
Super Target,12500 K Plz,EXCELLENT,5/11/2018,MEDIUM
Super Target Store T-530,4001 N 132nd,EXCELLENT,10/30/2018,HIGH
Super Target T-2326,16959 Evans Plz,EXCELLENT,8/16/2018,MEDIUM
SUPER T'S,3805 LAKE ST,STANDARD,9/20/2018,LOW
Sur La Table,10353 Pacific St,EXCELLENT,11/2/2018,MEDIUM
SURFSIDE CLUB,RR 5 Florence Sta,EXCELLENT,8/1/2018,MEDIUM
SUSHI JAPAN/YAKINIKU BOY,14134 W CENTER RD,STANDARD,12/20/2018,HIGH
SUSHI KABAR (IN FAMILY FARE),1221 S 203 ST,EXCELLENT,7/17/2018,MEDIUM
Suzan's LLC,8501 N 30th,EXCELLENT,11/20/2017,MEDIUM
SWARTZ'S DELICATESSEN,8718 PACIFIC ST,EXCELLENT,9/27/2018,HIGH
SWEET CAKES AND ROSES,14040 ARBOR ST,EXCELLENT,11/16/2018,HIGH
Sweet Lime Thai Food Express (Mobile), 138 Main St Springfield,EXCELLENT,6/1/2018,HIGH
Sweet Lorraine's Kitchen & Catering,6571 MAPLE ST,EXCELLENT,9/7/2018,HIGH
Sweet Lorraine's Kitchen & Catering (Mobile,6571 Maple St,STANDARD,5/8/2018,MEDIUM
SWEET MAGNOLIA'S BAKE SHOP,813 N 40 ST,EXCELLENT,1/31/2018,LOW
Swine Dining BBQ,12120 W Dodge Rod,EXCELLENT,11/1/2018,HIGH
SZECHUAN EXPRESS INC,315 N 114 ST,EXCELLENT,1/14/2019,HIGH
T & A Express,5825 N 30th St,STANDARD,8/21/2018,MEDIUM
T & A GROCERIES,3247 N 42 ST,STANDARD,12/12/2018,MEDIUM
T HENRY'S PUB,318 S 11 ST,STANDARD,8/17/2018,LOW
T Maries Homestyle Foods & Seafoods,2414 Patrick Ave,STANDARD,1/4/2019,HIGH
TABLE GRACE CAFÉ,1611 1/2 FARNAM ST,EXCELLENT,1/11/2019,HIGH
TACO BELL #35269,7051 DODGE ST,EXCELLENT,9/21/2018,MEDIUM
TACO BELL #35270,14554 W CENTER RD,STANDARD,9/18/2018,MEDIUM
TACO BELL #35271,3211 N 108 ST,EXCELLENT,11/15/2018,MEDIUM
TACO BELL #35272,3917 S 42 ST,EXCELLENT,11/6/2018,MEDIUM
TACO BELL #35273,7516 N 30 ST,EXCELLENT,10/26/2018,MEDIUM
TACO BELL #35274,5139 N 90 ST,EXCELLENT,11/2/2018,MEDIUM
TACO BELL #35276,12075 W CENTER RD,EXCELLENT,12/7/2018,MEDIUM
TACO BELL #35277,2812 S 84 ST,EXCELLENT,12/13/2018,MEDIUM
TACO BELL #35279,13725 Q ST,EXCELLENT,9/20/2018,MEDIUM
TACO BELL #35280,5310 S 108 ST,EXCELLENT,9/20/2018,MEDIUM
TACO BELL #35281,4801 L ST,STANDARD,9/26/2018,MEDIUM
TACO BELL #35282,18370 WRIGHT ST,STANDARD,,MEDIUM
TACO BELL #35283,14606 W MAPLE RD,EXCELLENT,11/19/2018,MEDIUM
TACO BELL #35284,3855 DODGE ST,EXCELLENT,9/10/2018,MEDIUM
TACO BELL #35285,17130 EVANS PLZ,EXCELLENT,9/17/2018,MEDIUM
TACO BELL #35287,16845 POLK PLZ,EXCELLENT,8/15/2018,MEDIUM
TACO BELL #35288,6110 N 72nd ST,STANDARD,11/2/2018,MEDIUM
Taco Co.,6108 Maple St,EXCELLENT,9/28/2018,HIGH
Taco Johns,350 N 168th Cir,STANDARD,12/14/2018,MEDIUM
Taco Johns,15375 Weir ST,EXCELLENT,1/23/2019,MEDIUM
Taco Johns,1115 S Saddle Creek RD,STANDARD,5/11/2018,MEDIUM
Taco Johns,2901 N 108th ST,EXCELLENT,8/20/2018,MEDIUM
Taco Johns,8303 Maple ST,EXCELLENT,10/16/2018,MEDIUM
Taco Johns,5445 L ST,EXCELLENT,11/30/2018,MEDIUM
Tacos Acapulco,4623 S 33rd St,STANDARD,12/19/2018,MEDIUM
TAIPEI ASIAN CUISINE,2859 S 168TH ST,EXCELLENT,8/9/2018,HIGH
Taita,6324 MAPLE ST,EXCELLENT,10/12/2018,HIGH
Taiwan Caf�, 4849 N 90 St  Ste 1 ,EXCELLENT,12/18/2018,HIGH
Taj,654 N 114 ST,STANDARD,10/31/2018,HIGH
Take 'Em Catering, 2851 Capehart Rd,STANDARD,9/14/2018,MEDIUM
TANGIER TEMPLE,2823 S 84th St,EXCELLENT,1/15/2019,MEDIUM
Tanner's Bar & Grill,19102 Q ST,EXCELLENT,,HIGH
Tanner's Bar & Grill,15505 Ruggles St #106,FAIR,9/11/2018,HIGH
Tanner's Bar & Grill,1202 S 119 ST,STANDARD,10/17/2018,HIGH
Tanner's Bar & Grill,7340 Harrison ST,FAIR,11/27/2018,HIGH
TAP DANCERS SPECIALTY COFFEE,4341 S 90 ST,STANDARD,3/28/2018,MEDIUM
Taqueria   El Rey   ,5201 S 24 ST,FAIR,1/16/2019,HIGH
TAQUERIA ANTARCTICA,6621 RAILROAD AVE,FAIR,1/25/2019,HIGH
TAQUERIA CHANGO,2405 HICKORY ST,STANDARD,10/4/2018,HIGH
TAQUERIA EL CHAVO,2411 I ST,EXCELLENT,12/26/2018,MEDIUM
TAQUERIA EL CHAVO (Mobile),2411 I ST,EXCELLENT,4/19/2018,MEDIUM
TAQUERIA EL GAUILAN,5023 S 24 ST,EXCELLENT,8/7/2018,HIGH
TAQUERIA EL PAISO (MOBILE),4835 S 24 ST,EXCELLENT,4/20/2018,MEDIUM
Taqueria El Rey (Event) (Mobile),1837 Vinton St,STANDARD,5/9/2018,MEDIUM
Taqueria El Rey (Leavenworth) (Mobile),1837 VINTON ST,FAIR,7/26/2018,MEDIUM
Taqueria El Rey (Saddle Creek) (Mobile),1837 VINTON ST,STANDARD,6/7/2018,MEDIUM
Taqueria El Rey III,1837 Vinton St,STANDARD,12/5/2018,HIGH
TAQUERIA LA ESMERALDA,3215 Q ST,STANDARD,7/24/2018,HIGH
TAQUERIA LOS COMPADREZ,10904 Q ST,EXCELLENT,8/22/2018,HIGH
Taqueria Tijuana LLC,5139 S 24th St,FAIR,11/30/2018,HIGH
Target,7200 Dodge St,EXCELLENT,12/14/2018,HIGH
Target Store T2010,6636 N 73rd Plaza,EXCELLENT,10/2/2018,MEDIUM
Taste of India,3572 Leavenworth,FAIR,1/7/2019,HIGH
TASTE OF THAILAND,15712 W CENTER RD,EXCELLENT,8/15/2018,HIGH
Tasty Bakery,2527 N 72 St,STANDARD,,MEDIUM
TASTY PASTRY,5423 LEAVENWORTH ST,STANDARD,1/22/2019,MEDIUM
TATTOO BOB'S BAR-B-Q (MOBILE),7768 CASS ST,EXCELLENT,12/14/2018,HIGH
TAVERN 180,203 N 180 ST,STANDARD,12/18/2018,HIGH
TAVERN ON Q,18010 R PLZ,EXCELLENT,1/8/2019,LOW
Taxi's Grille & Bar,1822 N 120th St,EXCELLENT,9/27/2018,HIGH
Tayo,8501 N 30 St,EXCELLENT,9/7/2018,MEDIUM
TCBY RALSTON,5170 S 72 ST - RALSTON,EXCELLENT,10/26/2018,MEDIUM
TD AMERITRADE PARK / LEVY FOODSERVICE,1200 MIKE FAHEY DR,EXCELLENT,6/16/2018,MEDIUM
TEA SMITH (THE),345 N 78 ST,EXCELLENT,12/4/2018,LOW
TEACHER ADMIN CENTER,3215 CUMING ST,SUPERIOR,10/15/2018,HIGH
TED & WALLY'S ICE CREAM,1120 JACKSON ST,STANDARD,6/13/2018,MEDIUM
TED & WALLY'S INC,6023 MAPLE ST,EXCELLENT,9/26/2018,HIGH
TEL JED SOKOL AUDITORIUM,2234 S 13 ST,EXCELLENT,5/24/2018,LOW
TERIYAKI EXPRESS,9763 Q ST,EXCELLENT,12/12/2018,HIGH
TERIYAKI EXPRESS,5015 S 24th St,STANDARD,9/21/2018,HIGH
TEXAS ROADHOUSE,520 N 155 PLZ,EXCELLENT,1/7/2019,HIGH
THAI ESARN CUISINE,555 N 155 PLZ,EXCELLENT,11/27/2018,HIGH
THAI HOUSE,2101 N 120 ST STE C5,EXCELLENT,9/25/2018,HIGH
THAI KITCHEN,16909 LAKESIDE HILLS,EXCELLENT,8/21/2018,HIGH
THAI PEPPER,631 N 114 ST,EXCELLENT,11/15/2018,HIGH
THAI SPICE,2933 N 108 ST,EXCELLENT,8/16/2018,HIGH
The Bull and the Bear,11341 Davenport St,STANDARD,8/29/2017,LOW
The Good Life Sports Bar & Grill at Indian Creek , 20231 Manderson St  Ste 108 ,EXCELLENT,12/3/2018,HIGH
Therapy Bar & Grill,5059 S 108th ST,EXCELLENT,1/7/2019,HIGH
THINK CAF�,7100 W CENTER RD,EXCELLENT,1/17/2019,HIGH
THIRST-TEA CAF�,200 S 31 AVE STE 4105,EXCELLENT,7/20/2018,LOW
Three Amigas,346 N 76th St,EXCELLENT,7/19/2018,HIGH
THUNDERHEAD BREWING TAPROOM,13304 W CENTER RD STE 126,EXCELLENT,11/14/2018,MEDIUM
Tienda Maya, 2910 K St  Ste C ,STANDARD,6/28/2018,MEDIUM
TIGER TOM'S PUB,7103 MILITARY AVE,STANDARD,8/15/2018,HIGH
Timber Creek Pizza Pub & Grill,6718 S 178th St,STANDARD,10/30/2018,HIGH
TIMBER WOODFIRE BISTRO,8702 PACIFIC ST,STANDARD,12/27/2018,HIGH
TIME CLOCK LOUNGE,4601 S 90 ST,FAIR,11/5/2018,HIGH
TIME OUT FOODS,3518 N 30 ST,EXCELLENT,7/20/2018,HIGH
Tipico Helado,4443 S 13th St,STANDARD,9/14/2017,MEDIUM
TIRED TEXAN BBQ,4702 S 108 ST,STANDARD,12/4/2018,HIGH
Tixteco Mexican Restaurant,2216 S 16th St,eXCELLENT,11/7/2018,HIGH
TLC / DOWNHOME FOOD,4724 N 24 ST,STANDARD,7/24/2018,MEDIUM
TNT Walking Tacos, 940 N 204th Ave  Ste 260 ,EXCELLENT,8/8/2018,MEDIUM
Tobacco & Phones 4 Less,2014 L ST,FAIR,12/20/2018,MEDIUM
Tobacco & Phones 4 Less,6000 Grover ST,STANDARD,1/26/2018,MEDIUM
Tobacco & Phones 4 Less,4420 S 24th ST,STANDARD,2/13/2018,MEDIUM
Tobacco & Phones 4 Less,4429 California ST,STANDARD,10/6/2017,LOW
Tobacco & Phones 4 Less,7210 Harrison St,FAIR,5/18/2018,MEDIUM
Tobacco & Phones 4 Less,7204 Blondo ST,STANDARD,12/27/2017,LOW
TOBACCO & PHONES 4 LESS,5444 CENTER ST,STANDARD,2/15/2018,LOW
Tobacco & Phones 4 Less,7205 Lawndale DR,FAIR,3/12/2018,LOW
Tobacco & Phones 4 Less,4725 S 77th AVE -RALSTON,STANDARD,10/26/2018,LOW
Tobacco 4 Less,8928 Maple ST,STANDARD,3/15/2018,MEDIUM
Tobacco 4 Less,3402 S 42nd ST,STANDARD,8/2/2018,MEDIUM
Tobacco 4 Less,4108 Dodge ST,STANDARD,5/2/2018,LOW
Tobacco Hut #1,5826 Maple ST,EXCELLENT,11/28/2018,LOW
Tobacco Hut #15,5434 N 103rd,STANDARD,10/2/2017,LOW
Tobacco Hut #19,6206 AMES AVE,STANDARD,8/28/2017,LOW
Tobacco Phones for Less,10780 Q ST,FAIR,10/17/2017,LOW
Tobacco Road Discount,1414 S Saddle Creek RD,STANDARD,3/20/2018,LOW
TOKYO SUSHI,1215 HOWARD ST,FAIR,9/24/2018,HIGH
Tom's Live Market,4823 S 27th St,STANDARD,8/8/2018,HIGH
Top Nails,2914 S 84th St,STANDARD,7/17/2018,MEDIUM
TOPPERS PIZZA,7010 DODGE ST,EXCELLENT,3/28/2018,MEDIUM
TOPPERS PIZZA,741 N 114 ST,EXCELLENT,7/13/2018,MEDIUM
TOUCH OF CLASS,11220 FORT ST,EXCELLENT,2/22/2018,LOW
TOWNE PLACE SUITES BY MARRIOTT,10865 W DODGE RD,EXCELLENT,2/27/2018,MEDIUM
TOYS 'R' US,3435 OAKVIEW DR,EXCELLENT,10/31/2017,LOW
Tquila,3050 L ST,EXCELLENT,9/19/2018,LOW
TRACKS LOUNGE,1506 S 60 ST,EXCELLENT,1/9/2019,HIGH
TRADER JOE'S #719,10305 PACIFIC ST,EXCELLENT,8/8/2018,MEDIUM
TRANQUILITY ICE PLEX,12550 W MAPLE RD,STANDARD,1/14/2019,MEDIUM
TRAP ROOM (THE),733 N 14 ST,EXCELLENT,10/23/2017,LOW
TRAVEL DESIGN LOUNGE,16950 Wright PLZ STE 151,EXCELLENT,10/30/2018,LOW
TRAVIS MERCHANTS OF VENICE,26402 W CENTER RD-WATERLOO,STANDARD,7/11/2018,MEDIUM
Treat America @ Ag Processing,12700 W Dodge RD,EXCELLENT,7/23/2018,HIGH
Treat America @ World Herald,1314 Douglas ST,EXCELLENT,7/19/2018,HIGH
Treat America Food Services/OPPD Energy,444 S 16th St Mall,EXCELLENT,10/1/2018,HIGH
Treat America Food Services/Physicians Mutual,2600 Dodge ST,EXCELLENT,8/16/2018,MEDIUM
Treat America/West Corporation,11808 Miracle Hills DR,EXCELLENT,7/17/2018,HIGH
Treat America@ACI,6060 Coventry DR,STANDARD,12/14/2018,HIGH
Treat America@Lincoln Financial,8801 Indian Hills DR,STANDARD,10/24/2018,HIGH
TREE TOPS RESTAURANT (ZOO),3701 S 10 ST,EXCELLENT,6/25/2018,MEDIUM
TRINI'S,1020 HOWARD ST,EXCELLENT,10/11/2018,HIGH
TRIO,1150 STERLING RIDGE DR,EXCELLENT,12/4/2017,LOW
Tulsi Indian Groceries,2455 S 132nd St,STANDARD,10/5/2018,HIGH
TURF CLUB,2404 S 60 ST,STANDARD,3/12/2018,LOW
TUSSEY'S CASUAL GRILL,9229 MORMON BRIDGE PLZ,EXCELLENT,9/24/2018,HIGH
TWIN PEAKS,17330 W CENTER RD,EXCELLENT,8/24/2018,HIGH
TWISTED CORK BISTRO,10730 PACIFIC ST,EXCELLENT,11/20/2018,HIGH
TWISTED FORK GRILL & BAR,1014 HOWARD ST,STANDARD,12/27/2018,HIGH
Twisted Post Bar & Grill,14901 Industrial Rd,STANDARD,10/17/2018,HIGH
TWO RIVERS CONCESSIONS,27717 F ST-WATERLOO,EXCELLENT,7/31/2018,MEDIUM
UNDERWOOD BAR,4918 UNDERWOOD AVE,STANDARD,10/5/2017,LOW
Union Bank & Trust Sports Complex,21015 Cumberland Dr,STANDARD,,MEDIUM
UNION PIZZERIA AND SPORTS BAR,3636 N 156 ST,STANDARD,9/11/2018,HIGH
UPCHURCH ELEM,8686 S 165 ST,SUPERIOR,9/7/2018,HIGH
UPSTREAM BREWING COMPANY,514 S 11 ST,EXCELLENT,1/25/2019,HIGH
URBAN ABBEY,1026 JACKSON ST,EXCELLENT,4/17/2018,MEDIUM
Urban Air Adventure Park,15364 Weir St,EXCELLENT,7/20/2018,MEDIUM
VMertz Restaurant,1022 Howard ST,STANDARD,,MEDIUM
Valentino's,2606 S 132nd St Ste 105,EXCELLENT,3/12/2018,MEDIUM
Valentino's,13805 P ST,EXCELLENT,4/16/2018,MEDIUM
Valentino's Inc,5022 S 108th,EXCELLENT,7/11/2018,HIGH
Valentino's Inc,5070 Leavenworth,EXCELLENT,9/27/2018,MEDIUM
Valentino's Northwest,10190 Maple,EXCELLENT,11/19/2018,HIGH
Valley Dairy Queen,6085 N 261st CIR - VALLEY,EXCELLENT,4/16/2018,MEDIUM
VALLEY VETERAN'S CLUB,111 E FRONT ST-VALLEY,EXCELLENT,2/15/2018,MEDIUM
VARIEDADES SALVADORENA,3702 Q ST,STANDARD,11/27/2018,HIGH
VARSITY SPORTS CAFÉ/ROMAN COIN PIZZA,4910 DODGE ST,EXCELLENT,9/12/2018,HIGH
VARSITY SPORTS CAFÉ/ROMAN COIN PIZZA,14529 F ST,EXCELLENT,10/23/2018,HIGH
VARSITY SPORTS CAFÉ/ROMAN COIN PIZZA,9735 Q ST,STANDARD,6/25/2018,LOW
Verdict Bar & Grill,1901 Harney ST,STANDARD,1/4/2019,HIGH
VFW Post #2503,8904 Military AVE,EXCELLENT,9/28/2018,HIGH
VFW Post 8334,5083 S 136th,EXCELLENT,8/2/2018,HIGH
VIA FARINA,1108 S 10 ST,EXCELLENT,1/9/2019,HIGH
VIC'S CORN POPPER,210 S 16 ST,EXCELLENT,12/6/2018,MEDIUM
VIC'S CORN POPPER,3001 S 144 ST,STANDARD,6/7/2018,LOW
VIC'S CORN POPPER,14432 W CENTER RD,EXCELLENT,6/26/2018,LOW
VIC'S CORN POPPER,12100 W CENTER RD STE 112,EXCELLENT,7/5/2018,LOW
VICTOR'S MEXICAN RESTAURANT,3223 Q ST,FAIR,11/26/2018,HIGH
VIETNAMESE ASIAN RESTAURANT,7212 JONES ST,STANDARD,9/6/2018,HIGH
VILLA LOSOLE,3018 S 32ND AVE,EXCELLENT,10/10/2018,MEDIUM
VILLAGE AT PACIFIC SPRINGS THE,805 S 173 PLZ,EXCELLENT,12/14/2018,HIGH
VILLAGE BAR - RALSTON,5700 S 77 ST,STANDARD,9/1/2017,LOW
VILLAGE GRINDER,8706 PACIFIC ST,EXCELLENT,10/19/2018,MEDIUM
VILLAGE INN #0008,4416 DODGE ST,STANDARD,12/11/2018,HIGH
VILLAGE INN #0046,10770 M ST,EXCELLENT,1/2/2019,HIGH
VILLAGE INN #0111,3333 N 90 ST,EXCELLENT,9/13/2018,HIGH
VILLAGE INN #0131,5425 L ST,EXCELLENT,12/11/2018,HIGH
VILLAGE INN #787,7837 DODGE ST,STANDARD,12/11/2018,HIGH
VILLAGE INN #801,3839 N 138 ST,STANDARD,11/6/2018,HIGH
VILLAGE INN #806,2525 S 180 ST,EXCELLENT,1/4/2019,HIGH
VILLAGE INN #847,6607 N 72 ST,STANDARD,8/7/2018,HIGH
VILLAGE POINTE CINEMA,304 N 174 ST,STANDARD,1/18/2019,HIGH
VILLAGIO PIZZERIA,6922 N 102 CIR,EXCELLENT,11/8/2018,MEDIUM
VINCENZO'S RISTORANTE,15701 PACIFIC ST,STANDARD,10/26/2018,HIGH
VINO MAS,14450 EAGLE RUN DR STE 220,EXCELLENT,5/9/2018,LOW
VIP LOUNGE,9001 ARBOR ST,STANDARD,5/8/2018,LOW
VIP NUTRITION,828 PARK AVE,STANDARD,4/26/2018,LOW
VIRTUOSO PIZZERIA,6056 MAPLE ST,EXCELLENT,6/19/2018,MEDIUM
Vis Major Brewing,3501 Center St,EXCELLENT,7/31/2018,HIGH
Vitality Bowls #093,1922 S 67th St,STANDARD,9/12/2018,MEDIUM
VOODOO BAR,304 N 168TH CIR,EXCELLENT,9/28/2018,LOW
VOODOO TACO,2295 S 67 ST,STANDARD,9/4/2018,HIGH
WAITING ROOM (THE),6212 MAPLE ST,EXCELLENT,9/19/2017,LOW
Wakonda Elementary,4845 CURTIS AVE,SUPERIOR,9/10/2018,HIGH
WALGREENS - LAVISTA,8380 HARRISON ST,EXCELLENT,9/24/2018,LOW
Walgreens #02472,18040 R Plaza,EXCELLENT,11/8/2018,LOW
Walgreens #03186,3701 N 132nd,EXCELLENT,3/16/2018,LOW
Walgreens #03202,7202 N 30th,EXCELLENT,7/17/2018,LOW
Walgreens #03621,9001 Blondo,EXCELLENT,5/8/2018,LOW
Walgreens #04443,9001 W Center RD,EXCELLENT,9/21/2018,LOW
Walgreens #04772,3005 Lake ST,EXCELLENT,4/12/2018,LOW
Walgreens #04974,5038 Center,EXCELLENT,12/29/2017,LOW
Walgreens #05059,10725 Fort ST,EXCELLENT,12/8/2017,LOW
Walgreens #05143,7151 Cass ST,EXCELLENT,3/1/2018,LOW
Walgreens #05190,2323 L ST,EXCELLENT,11/19/2018,LOW
Walgreens #05360,5062 S 155th ST,EXCELLENT,3/7/2018,MEDIUM
Walgreens #05741,3001 Dodge ST,EXCELLENT,7/6/2018,LOW
Walgreens #05966,2605 S 171st ST,EXCELLENT,12/29/2017,LOW
Walgreens #06802,15525 Spaulding Plaza,EXCELLENT,9/15/2017,LOW
Walgreens #06936,4310 Ames AVE,EXCELLENT,7/30/2018,LOW
Walgreens #06962,3121 S 24th ST,EXCELLENT,2/27/2018,MEDIUM
Walgreens #07272,13155 W Center RD,EXCELLENT,7/23/2018,LOW
Walgreens #07563,8989 W Dodge ST,EXCELLENT,10/11/2017,LOW
Walgreens #07693,225 N Saddle Creek RD,EXCELLENT,9/13/2018,LOW
Walgreens #10437,5225 N 90th ST,EXCELLENT,7/16/2018,LOW
Walgreens #11203,17909 Burke ST,EXCELLENT,8/16/2018,LOW
Walgreens #11204,20201 Maderson ST,EXCELLENT,3/16/2018,LOW
Walgreens #11205,6005 N 72nd ST,EXCELLENT,3/8/2018,LOW
Walgreens #13137,13510 Q ST,EXCELLENT,1/23/2019,LOW
Walgreens #15237,2929 N 60th ST,EXCELLENT,8/31/2017,LOW
Walmart #3172,5051 L ST,EXCELLENT,11/14/2018,MEDIUM
Walmart #4138,13105 Birch DR,EXCELLENT,9/11/2018,MEDIUM
Walmart #4358,1606 S 72nd ST,EXCELLENT,11/26/2018,MEDIUM
Walmart Market #3153,6710 S 167th ST,STANDARD,10/30/2018,MEDIUM
Walmart Neighborhood Market,2451 N 90th ST,EXCELLENT,10/30/2018,MEDIUM
Wal-Mart Neighborhood Market #4139,360 N Saddle Creek RD,EXCELLENT,9/13/2018,MEDIUM
Walmart Supercenter #1637,6304 N 99th ST,EXCELLENT,5/30/2018,MEDIUM
Walmart SuperCenter #3151,5018 Ames DR,EXCELLENT,5/31/2018,MEDIUM
Walmart Supercenter #3267,18201 Wright ST,EXCELLENT,10/29/2018,HIGH
Walmart Supercenter #5141,16960 W MAPLE RD,EXCELLENT,1/2/2019,HIGH
Walmart Supercenter #5361,12850 L ST,EXCELLENT,4/2/2018,MEDIUM
WALNUT GROVE RETIREMENT FAC,4901 S 153 ST,EXCELLENT,11/26/2018,HIGH
Walnut Hill Elementary,4355 CHARLES ST,SUPERIOR,8/28/2018,HIGH
WALT DISNEY ELEM SCHOOL,5717 S 112 ST,SUPERIOR,8/29/2018,HIGH
Wamo Food Market,1604 NW Radial Hwy,STANDARD,12/7/2018,HIGH
WAOO DANCING CLUB,10730 PACIFIC ST,EXCELLENT,8/11/2017,LOW
WAREHOUSE (THE),15835 CW HADAN DR-BENNINGTON,EXCELLENT,8/7/2018,HIGH
WASHINGTON SCHOOL,5519 MAYBERRY ST,SUPERIOR,8/21/2018,HIGH
WAVE BISTRO,4002 N 144 ST,EXCELLENT,10/22/2018,HIGH
Wayne's New Skool BBQ, 4865 Center St  #6 ,STANDARD,8/17/2018,HIGH
WAYSIDE TAVERN,8503 MAPLE ST,STANDARD,1/10/2019,MEDIUM
WEAVER LOUNGE,401 S 16 ST,EXCELLENT,11/27/2017,LOW
WEIRDOUGH PIZZA,10000 CALIFORNIA ST SFC01,EXCELLENT,7/17/2018,HIGH
WELL GROUNDED,707 S 24 ST,EXCELLENT,4/23/2018,MEDIUM
Wendy's,4161 S 84th,EXCELLENT,12/18/2018,MEDIUM
Wendy's,13430 W Maple RD,EXCELLENT,4/19/2018,MEDIUM
Wendy's,4308 Dodge,EXCELLENT,7/6/2018,MEDIUM
Wendy's Hamburgers #4,711 S 72nd ST,STANDARD,6/22/2018,MEDIUM
