Name,Address,RATING,CURRENT,RISK
Salween Thai,7425 Pacific St,EXCELLENT,1/9/2019,HIGH
SALWEEN THAI GROCERY,1106 NW RADIAL HWY,STANDARD,5/15/2018,LOW
SALWEEN THAI RESTAURANT,6553 AMES AVE,STANDARD,8/3/2018,HIGH
SALWEEN THAI RESTAURANT,1102 NW RADIAL HWY,EXCELLENT,9/6/2018,HIGH
SAM & LOUIE'S NEW YORK PIZZA,2062 N 117 AVE,EXCELLENT,10/30/2018,MEDIUM
SAM & LOUIE'S NEW YORK PIZZA,2949 N 204 AVE,EXCELLENT,11/29/2018,MEDIUM
SAM'S CLUB,13130 L ST,EXCELLENT,3/22/2018,MEDIUM
SAM'S GYROS,632 N SADDLE CREEK RD,STANDARD,,HIGH
SAM'S MEXICAN FOODS,5014 S 20 ST,FAIR,8/7/2018,HIGH
SAM'S MEXICAN FOODS (MOBILE 1),5014 S 20 ST,STANDARD,2/23/2018,MEDIUM
SAM'S MEXICAN FOODS (MOBILE 2),5015 S 20 ST,STANDARD,2/23/2018,MEDIUM
SAN LUIS RESTAURANT Y PALETERIA,4804 S 24 ST,FAIR,8/1/2018,HIGH
Sand Bar,3809 N 90th,EXCELLENT,12/18/2018,HIGH
SANTA FE,4807 S 24 St,FAIR,12/20/2018,HIGH
SARAH JOSLYN ELEMENTARY,11220 BLONDO ST,SUPERIOR,9/27/2018,HIGH
SARATOGA SCHOOL ELEMENTARY,2504 MEREDITH AVE,EXCELLENT,10/15/2018,HIGH
SARKU JAPAN,3001 S 144TH ST,STANDARD,8/21/2018,HIGH
Sauce Bosses,3710 Leavenworth St,STANDARD,1/16/2019,MEDIUM
SAVOR OMAHA AT BAXTER ARENA,2425 S 67TH ST,EXCELLENT,10/19/2018,HIGH
SAVORY SPICE SHOP,10919 ELM ST,EXCELLENT,5/25/2018,LOW
SCHEELS ALL SPORTS,17202 DAVENPORT,EXCELLENT,5/15/2018,MEDIUM
Schlotzsky's /Cinnabon,530 Saddle Creek,EXCELLENT,10/25/2018,MEDIUM
Schlotzsky's Deli,2782 S 129th AVE,EXCELLENT,3/28/2018,MEDIUM
Schmidley's Golf Range,4700 N 120th ST,STANDARD,4/19/2018,LOW
Scissors & Scotch, 2835 S 170th Plz  Ste 212 ,STANDARD,10/3/2017,LOW
